-159.592010000	0.000000000		0	227.422350000	0.00000000	0.000000000
-159.683260000	0.000000000		-0.091250000	227.331100000	0.00000000	0.000000000
-159.802010000	0.000000000		-0.210000000	227.212350000	0.00000000	0.000000000
-159.956380000	0.000000000		-0.364370000	227.057980000	0.00000000	0.000000000
-160.157060000	0.000000000		-0.565050000	226.857300000	0.00000000	0.000000000
-160.417950000	0.000000000		-0.825940000	226.596410000	0.00000000	0.000000000
-160.757100000	0.000000000		-1.165090000	226.257260000	0.00000000	0.000000000
-161.198020000	0.000000000		-1.606010000	225.816340000	0.00000000	0.000000000
-161.771230000	0.000000000		-2.179220000	225.243130000	0.00000000	0.000000000
-162.516390000	0.000000000		-2.924380000	224.497970000	0.00000000	0.000000000
-163.485060000	0.000000000		-3.893050000	223.529300000	0.00000000	0.000000000
-164.744340000	0.000000000		-5.152330000	222.270020000	0.00000000	0.000000000
-166.381400000	0.000000000		-6.789390000	220.632960000	0.00000000	0.000000000
-168.509590000	0.000000000		-8.917580000	218.504770000	0.00000000	0.000000000
-171.276330000	0.000000000		-11.684320000	215.738030000	0.00000000	0.000000000
-174.276930000	0.000000000		-14.684920000	212.737430000	0.00000000	0.000000000
-177.277600000	0.000000000		-17.685590000	209.736760000	0.00000000	0.000000000
-180.278310000	0.000000000		-20.686300000	206.736050000	0.00000000	0.000000000
-183.278980000	-0.001310046		-23.686970000	203.735380000	0.00095620	0.001010503
-186.279650000	-0.015081827		-26.687640000	200.734710000	-0.00664356	-0.006496664
-189.280380000	-0.041766151		-29.688370000	197.733980000	-0.02829050	-0.028151714
-192.281050000	-0.079149496		-32.689040000	194.733310000	-0.06121931	-0.061162405
-195.281760000	-0.125020620		-35.689750000	191.732600000	-0.10266661	-0.102738410
-198.282480000	-0.177166810		-38.690470000	188.731880000	-0.14986772	-0.150088100
-201.283200000	-0.233375610		-41.691190000	185.731160000	-0.20005820	-0.200420100
-204.283920000	-0.291434040		-44.691910000	182.730440000	-0.25047312	-0.250942520
-207.284640000	-0.349130100		-47.692630000	179.729720000	-0.29834842	-0.298864380
-210.285380000	-0.404251510		-50.693370000	176.728980000	-0.34091973	-0.341394350
-213.286090000	-0.454584950		-53.694080000	173.728270000	-0.37542194	-0.375740390
-216.286780000	-0.497918040		-56.694770000	170.727580000	-0.39909079	-0.399111280
-219.287480000	-0.532406890		-59.695470000	167.726880000	-0.40972566	-0.409292160
-222.288190000	-0.557935210		-62.696180000	164.726170000	-0.40777269	-0.406774530
-225.288870000	-0.574894070		-65.696860000	161.725490000	-0.39445519	-0.392844560
-228.289620000	-0.583675010		-68.697610000	158.724740000	-0.37099586	-0.368787830
-231.290380000	-0.584668850		-71.698370000	155.723980000	-0.33861813	-0.335890630
-234.291130000	-0.578266860		-74.699120000	152.723230000	-0.29854543	-0.295439270
-237.291850000	-0.564860510		-77.699840000	149.722510000	-0.25200172	-0.248720560
-240.292630000	-0.544840520		-80.700620000	146.721730000	-0.20020867	-0.197019070
-243.293400000	-0.518598590		-83.701390000	143.720960000	-0.14439100	-0.141622390
-246.294160000	-0.486525870		-86.702150000	140.720200000	-0.08577175	-0.083816407
-249.294900000	-0.449014040		-89.702890000	137.719460000	-0.02557489	-0.024887970
-252.295700000	-0.406453160		-92.703690000	134.718660000	0.03501621	0.033919468
-255.296480000	-0.359235540		-95.704470000	131.717880000	0.09543872	0.092029325
-258.297260000	-0.307752250		-98.705250000	128.717100000	0.15564048	0.149413360
-261.298020000	-0.252395070		-101.706010000	125.716340000	0.21558335	0.206058490
-264.298830000	-0.193553760		-104.706820000	122.715530000	0.27523132	0.261953640
-267.299620000	-0.131620840		-107.707610000	119.714740000	0.33454540	0.317084920
-270.300420000	-0.066987294		-110.708410000	116.713940000	0.39348830	0.371440030
-273.301200000	-0.000044997		-113.709190000	113.713160000	0.45202185	0.425005900
-276.302010000	0.068849980		-116.710000000	110.712350000	0.51010962	0.477771000
-279.302820000	0.139474970		-119.710810000	107.711540000	0.56771313	0.529721960
-282.303620000	0.211642340		-122.711610000	104.710740000	0.62479482	0.580846240
-285.304420000	0.285164010		-125.712410000	101.709940000	0.68131680	0.631131000
-288.305240000	0.359853430		-128.713230000	98.709120000	0.73724233	0.680564430
-291.306060000	0.435522050		-131.714050000	95.708300000	0.79253312	0.729133340
-294.306880000	0.511982100		-134.714870000	92.707480000	0.84715154	0.776825120
-297.307700000	0.589045940		-137.715690000	89.706660000	0.90105998	0.823627190
-300.308450000	0.666523940		-140.716440000	86.705910000	0.95421954	0.869525850
-303.309180000	0.744229930		-143.717170000	83.705180000	1.00659370	0.914509460
-306.309910000	0.821976530		-146.717900000	80.704450000	1.05814500	0.958565600
-309.310640000	0.899575870		-149.718630000	77.703720000	1.10883580	1.001681600
-312.311350000	0.976840000		-152.719340000	74.703010000	1.15862820	1.043844700
-315.312080000	1.053582000		-155.720070000	71.702280000	1.20748520	1.085042700
-318.312800000	1.129613600		-158.720790000	68.701560000	1.25536870	1.125262800
-321.313570000	1.204748400		-161.721560000	65.700790000	1.30224200	1.164492900
-324.314340000	1.278797700		-164.722330000	62.700020000	1.34806670	1.202720100
-327.315120000	1.351573800		-167.723110000	59.699240000	1.39280540	1.239931600
-330.315920000	1.422889100		-170.723910000	56.698440000	1.43642030	1.276114900
-333.316720000	1.492555500		-173.724710000	53.697640000	1.47887360	1.311257300
-336.317520000	1.560385400		-176.725510000	50.696840000	1.52012790	1.345346100
-339.318330000	1.626191300		-179.726320000	47.696030000	1.56014550	1.378368900
